avg_color,mass
"[40.94709653270495, 38.697461809430926, 58.6017923160475]",2317203
"[40.9647624735929, 38.78131134656008, 58.624897859534414]",2318022
"[40.854900749362216, 38.520001781230015, 58.57469675492272]",2319149
"[40.912191585618686, 38.609623188875176, 58.66823437749128]",2319080
"[40.778843782385984, 38.406545833665504, 58.60285233478155]",2320291
"[40.855938035614635, 38.56524066535793, 58.719795694156645]",2320567
"[40.728278958067584, 38.30645969935831, 58.64130915427703]",2321565
"[40.80459750428491, 38.39892360142297, 58.741093538245444]",2321597
"[40.62779329260995, 38.17314583914619, 58.597364775988574]",2322521
"[40.65902180574377, 38.27599070023511, 58.63768752740358]",2321993
"[40.67354848433508, 38.143025612344516, 58.68618182746725]",2320537
"[40.882820596500245, 38.35078990702724, 58.899822624362265]",2318203
"[40.864820830676, 38.28521915357936, 58.89793707399941]",2317983
"[41.06514195033505, 38.621563347018785, 59.13830971231298]",2316625
"[40.75073522450968, 38.132275328344214, 58.86931594537231]",2317669
"[40.69052373146523, 38.09271738480549, 58.82638144979666]",2318251
"[40.61569058165262, 37.940085586236485, 58.803590112803]",2318015
"[40.703545706612644, 38.12684755909196, 58.929577574437936]",2316682
"[40.73715614785948, 38.05534238231428, 58.97025190080917]",2315939
"[40.99441341478011, 38.38912403340254, 59.28326789700266]",2313471
"[40.697171269630886, 37.935473383689335, 58.97199825364715]",2314841
"[40.647792271205375, 37.924347235232005, 58.9219341667331]",2315376
"[40.604053108059624, 37.762143193458996, 58.89288236656966]",2314991
"[40.71431031519052, 37.90726548798228, 58.9997620874521]",2314290
"[40.78342951560507, 37.89570711096935, 59.079762984295236]",2312584
"[41.11501421247241, 38.384852818080596, 59.48194511569293]",2311522
"[40.831549508231014, 37.8099449313416, 59.137267755002334]",2312685
"[40.794838730169836, 37.763051558514064, 59.0920329191246]",2313600
"[40.721149055325306, 37.5844327965561, 59.02208351602367]",2313827
"[40.82038723692598, 37.716907111965895, 59.10325186593195]",2313713
"[40.941904496173386, 37.684020373286025, 59.201890595105205]",2313301
"[41.328134342115845, 38.10844763930968, 59.61803047024485]",2312204
"[41.0717736069037, 37.684452290437676, 59.26406455526548]",2313538
"[41.09740556989391, 37.72540999431998, 59.25274938466589]",2314299
"[41.07157461983815, 37.48882184709822, 59.171853824537656]",2314756
"[41.20570716079396, 37.58914963079952, 59.25301719198422]",2314669
"[41.319538972815614, 37.56898965640948, 59.327094876036355]",2314165
"[41.69317844935858, 38.00505626444939, 59.68780112753126]",2313510
"[41.519492635921516, 37.598706303810516, 59.45622627102601]",2313905
"[41.57198193608495, 37.640399232202604, 59.47339489995222]",2314222
"[41.424735244439596, 37.395554211674906, 59.30508516272722]",2314946
"[41.48368368343434, 37.48175017687743, 59.322071620396216]",2315126
"[41.524785255899225, 37.36623958665497, 59.343580596301]",2314501
"[41.73002904775193, 37.540473159478644, 59.523538706254]",2313847
"[41.68914047552618, 37.38509384466675, 59.46718768684227]",2313993
"[41.80281751983013, 37.54387898347814, 59.56041951082201]",2313692
"[41.72462369957749, 37.32804559201611, 59.47958342883042]",2313964
"[41.81171432806518, 37.43165619519291, 59.544890111806446]",2313988
"[41.763130343690236, 37.30828701719951, 59.4860743308554]",2314155
"[41.87162874182887, 37.49775758081558, 59.58408246721554]",2313921
"[41.84131233059632, 37.33481738032132, 59.52481577347737]",2314240
"[42.03777359942993, 37.48620449766829, 59.67771413374924]",2313898
"[41.9744390370895, 37.32803002182321, 59.5986848169443]",2314301
"[42.11766519351885, 37.49085157744743, 59.718015086894184]",2313976
"[41.9173160475127, 37.24965091627466, 59.48867424166928]",2315127
"[42.01686158472167, 37.30420606963485, 59.53532845633368]",2315182
"[41.8369819485411, 37.16865913235416, 59.36448762854762]",2316423
